ID,Group,1A,1B,2,3,4,5,6A,6B
P1,A,9,11,5,6,4,5,13,19
P2,A,9,12,4,4,3,3,7,11
P3,A,7,10,3,3,2,4,5,15
P4,A,6,15,6,6,2,6,12,16
P5,A,10,9,2,3,2,1,10,15
P6,A,3,10,,4,3,,12,18
P7,A,6,14,4,6,3,5,11,12
P8,A,6,8,4,4,4,1,6,14
P9,A,2,9,3,1,2,3,10,20
P10,A,5,15,4,4,6,6,12,21
P11,A,9,11,3,3,3,3,5,6
P12,A,9,12,5,6,4,7,10,10
P13,A,5,11,6,8,9,8,15,19
P14,A,5,13,6,8,9,8,12,14
P15,A,6,11,2,2,2,2,12,21
P16,A,7,13,5,6,2,6,9,15
P17,B,8,19,7,3,4,5,11,13
P18,B,6,11,4,5,6,4,5,9
P19,B,8,8,5,3,7,7,9,11
P20,B,4,11,3,6,7,7,12,21
P21,B,4,13,6,7,7,5,8,21
P22,B,6,16,4,5,3,3,5,12
P23,B,3,12,7,5,7,4,10,9
P24,B,3,9,7,7,8,6,10,19
P25,B,6,13,6,3,7,6,12,19
P26,B,5,14,6,6,5,4,12,22
P27,B,3,11,4,4,3,4,6,13
P28,B,5,13,3,3,1,9,12,14
P29,B,5,14,5,3,5,5,10,18
P30,B,13,15,3,3,6,6,13,20
P31,B,6,9,5,7,5,9,9,15
P32,B,10,12,2,3,6,3,11,11
P33,B,4,12,8,10,5,8,13,21
